leg,transect
1,99999
2,0
3,3
4,3
5,3
6,300
7,4
8,4
9,4
10,4
11,400
12,5
13,5
14,5
15,5
16,5
17,10
18,10
19,10
20,11
21,11
22,12
23,12
24,12
25,12
26,13
27,13
28,13
29,14
30,15
31,15
32,16
33,16
34,1600
35,1600
36,1600
37,17
38,18
39,18
40,18
41,18
42,19
43,19
44,20
45,20
46,20
47,21
48,22
49,22
50,23
51,23
52,24
53,24
54,24
55,26
56,26
57,27
58,27
59,27
60,27
61,28
62,28
63,29
64,30
65,30
66,31
67,31
68,31
69,31
70,33
71,34
72,35
73,36
74,37
75,38
76,38
77,39
78,39
79,39
80,40
81,40
82,400
83,400
84,42
